Tiempo de respuesta (s),Notificador (ip),Rescatista (ip)
0.05882999999999994,10.1.0.5,10.1.0.6
0.05140000000000011,10.1.0.4,10.1.0.7
0.07194999999999974,10.1.0.1,10.1.0.8
0.04410999999999987,10.1.0.4,10.1.0.10
0.036439999999999806,10.1.0.1,10.1.0.7
0.036439999999999806,10.1.0.3,10.1.0.8
0.06390000000000029,10.1.0.5,10.1.0.8
0.040690000000000115,10.1.0.5,10.1.0.6
0.036450000000000315,10.1.0.3,10.1.0.10
0.04620999999999986,10.1.0.5,10.1.0.9
2.04011,10.1.0.2,10.1.0.7
0.036439999999999806,10.1.0.1,10.1.0.7
1.9712199999999998,10.1.0.2,10.1.0.7
0.036439999999999806,10.1.0.3,10.1.0.6
0.036440000000000694,10.1.0.3,10.1.0.7
1.3369400000000002,10.1.0.2,10.1.0.10
1.3928899999999995,10.1.0.2,10.1.0.10
0.036439999999999806,10.1.0.5,10.1.0.8
0.09791000000000061,10.1.0.1,10.1.0.9
0.10244000000000053,10.1.0.4,10.1.0.8
0.036439999999999806,10.1.0.5,10.1.0.8
0.036439999999999806,10.1.0.5,10.1.0.6
0.036440000000000694,10.1.0.4,10.1.0.8
0.036439999999999806,10.1.0.3,10.1.0.9
0.036430000000000184,10.1.0.5,10.1.0.8
0.036430000000000184,10.1.0.4,10.1.0.6
0.08075999999999972,10.1.0.3,10.1.0.8
0.3414299999999999,10.1.0.2,10.1.0.9
0.027670000000000528,10.1.0.5,10.1.0.8
0.7216999999999993,10.1.0.2,10.1.0.9
0.03644999999999943,10.1.0.4,10.1.0.10
0.05732999999999944,10.1.0.5,10.1.0.8
1.4739000000000004,10.1.0.2,10.1.0.10
0.06773000000000007,10.1.0.1,10.1.0.7
0.03669000000000011,10.1.0.1,10.1.0.7
0.027670000000000528,10.1.0.1,10.1.0.8
0.03645999999999994,10.1.0.4,10.1.0.10
0.036429999999999296,10.1.0.1,10.1.0.9
0.03643999999999892,10.1.0.1,10.1.0.7
0.07342000000000048,10.1.0.2,10.1.0.10
0.700050000000001,10.1.0.2,10.1.0.10
0.02766999999999875,10.1.0.4,10.1.0.8
0.03643999999999892,10.1.0.3,10.1.0.9
0.7969299999999997,10.1.0.2,10.1.0.6
0.03211999999999904,10.1.0.5,10.1.0.6
0.03643999999999892,10.1.0.3,10.1.0.9
0.02772000000000041,10.1.0.1,10.1.0.7
0.0566399999999998,10.1.0.3,10.1.0.9
0.06130000000000013,10.1.0.5,10.1.0.7
0.05265999999999993,10.1.0.4,10.1.0.8
0.09759999999999991,10.1.0.4,10.1.0.6
0.08631000000000011,10.1.0.5,10.1.0.9
0.10902000000000012,10.1.0.1,10.1.0.6
0.03644000000000025,10.1.0.4,10.1.0.7
0.036439999999999806,10.1.0.4,10.1.0.8
0.04993000000000025,10.1.0.4,10.1.0.10
0.12752000000000008,10.1.0.2,10.1.0.7
0.057949999999999946,10.1.0.5,10.1.0.8
0.03644000000000025,10.1.0.1,10.1.0.8
0.0430299999999999,10.1.0.2,10.1.0.6
0.04974999999999996,10.1.0.2,10.1.0.10
0.10107,10.1.0.3,10.1.0.9
0.07805000000000017,10.1.0.3,10.1.0.7
0.06108000000000047,10.1.0.4,10.1.0.6
0.036439999999999806,10.1.0.5,10.1.0.7
0.036439999999999806,10.1.0.2,10.1.0.8
0.036439999999999806,10.1.0.3,10.1.0.7
0.036440000000000694,10.1.0.2,10.1.0.7
0.036439999999999806,10.1.0.4,10.1.0.9
0.036439999999999806,10.1.0.1,10.1.0.8
0.036450000000000315,10.1.0.2,10.1.0.10
0.036430000000000184,10.1.0.2,10.1.0.8
