Tiempo de respuesta,Notificador,Rescatista
1.079335,10.1.0.4,10.1.0.9
1.118725,10.1.0.3,10.1.0.6
1.378428,10.1.0.4,10.1.0.10
0.590732,10.1.0.1,10.1.0.8
1.3096800000000002,10.1.0.4,10.1.0.7
0.10749600000000004,10.1.0.2,10.1.0.8
0.9607420000000001,10.1.0.3,10.1.0.6
1.2075650000000002,10.1.0.4,10.1.0.8
1.1607750000000001,10.1.0.4,10.1.0.8
1.145941,10.1.0.4,10.1.0.10
1.083804,10.1.0.3,10.1.0.8
0.08473799999999998,10.1.0.2,10.1.0.10
1.2838539999999998,10.1.0.3,10.1.0.7
1.665863,10.1.0.5,10.1.0.7
1.716201,10.1.0.5,10.1.0.10
2.89899,10.1.0.5,10.1.0.6
0.28617000000000004,10.1.0.1,10.1.0.7
0.38059,10.1.0.2,10.1.0.8
0.6578900000000001,10.1.0.4,10.1.0.8
0.9073199999999999,10.1.0.4,10.1.0.7
0.42573000000000016,10.1.0.1,10.1.0.6
0.9901399999999998,10.1.0.3,10.1.0.9
1.16915,10.1.0.4,10.1.0.8
1.30589,10.1.0.4,10.1.0.9
0.30879999999999996,10.1.0.2,10.1.0.9
0.31169999999999987,10.1.0.1,10.1.0.6
2.36057,10.1.0.4,10.1.0.8
0.28025999999999995,10.1.0.2,10.1.0.8
0.1455700000000002,10.1.0.2,10.1.0.9
0.045720000000000205,10.1.0.2,10.1.0.10
0.03644000000000025,10.1.0.1,10.1.0.8
0.15067999999999993,10.1.0.2,10.1.0.9
0.050040000000000084,10.1.0.1,10.1.0.7
2.2316099999999994,10.1.0.4,10.1.0.6
0.08613000000000026,10.1.0.1,10.1.0.8
0.032099999999999795,10.1.0.2,10.1.0.10
0.6800899999999999,10.1.0.3,10.1.0.6
1.57138,10.1.0.5,10.1.0.7
3.0927700000000002,10.1.0.4,10.1.0.10
0.06037000000000026,10.1.0.1,10.1.0.10
1.5181200000000001,10.1.0.5,10.1.0.7
3.3063999999999996,10.1.0.4,10.1.0.6
0.02778999999999998,10.1.0.2,10.1.0.10
0.06003999999999987,10.1.0.1,10.1.0.6
0.5020500000000001,10.1.0.3,10.1.0.7
0.032090000000000174,10.1.0.1,10.1.0.9
0.027779999999999916,10.1.0.2,10.1.0.7
0.9304299999999999,10.1.0.3,10.1.0.10
0.02778000000000036,10.1.0.1,10.1.0.6
0.03860000000000019,10.1.0.2,10.1.0.7
0.027779999999999916,10.1.0.1,10.1.0.9
4.228240000000001,10.1.0.4,10.1.0.9
0.27290999999999954,10.1.0.5,10.1.0.6
0.7998599999999998,10.1.0.5,10.1.0.7
0.9477899999999999,10.1.0.5,10.1.0.9
0.8720999999999997,10.1.0.5,10.1.0.8
1.4304500000000004,10.1.0.3,10.1.0.8
0.02337000000000078,10.1.0.2,10.1.0.8
2.2804399999999996,10.1.0.5,10.1.0.10
0.04962,10.1.0.1,10.1.0.6
0.06388999999999978,10.1.0.1,10.1.0.7
0.08811999999999998,10.1.0.1,10.1.0.10
2.8699899999999996,10.1.0.5,10.1.0.8
5.027710000000001,10.1.0.5,10.1.0.9
0.023419999999999774,10.1.0.2,10.1.0.6
0.5997400000000006,10.1.0.3,10.1.0.10
0.27177000000000007,10.1.0.3,10.1.0.8
0.06296999999999997,10.1.0.3,10.1.0.10
0.33834000000000053,10.1.0.3,10.1.0.9
1.2859100000000003,10.1.0.3,10.1.0.9
0.023410000000000153,10.1.0.2,10.1.0.6
0.027770000000000294,10.1.0.1,10.1.0.7
0.091180912,10.1.0.2,10.1.0.9
0.07288799999999995,10.1.0.5,10.1.0.7
0.05995099999999998,10.1.0.2,10.1.0.8
0.11254900000000001,10.1.0.1,10.1.0.9
0.14046800000000004,10.1.0.1,10.1.0.6
0.135486,10.1.0.1,10.1.0.8
0.09238400000000002,10.1.0.2,10.1.0.7
0.06010599999999999,10.1.0.1,10.1.0.6
0.056872000000000034,10.1.0.5,10.1.0.10
0.03643799999999997,10.1.0.2,10.1.0.7
0.25824400000000003,10.1.0.4,10.1.0.8
0.08880500000000002,10.1.0.3,10.1.0.6
0.07882900000000004,10.1.0.5,10.1.0.8
0.03645999999999994,10.1.0.1,10.1.0.10
0.06581000000000015,10.1.0.4,10.1.0.9
0.1556900000000001,10.1.0.3,10.1.0.6
0.07183000000000006,10.1.0.4,10.1.0.7
0.14389000000000007,10.1.0.2,10.1.0.7
0.2678799999999999,10.1.0.1,10.1.0.9
0.19662000000000002,10.1.0.2,10.1.0.7
0.13383000000000012,10.1.0.4,10.1.0.8
0.2341200000000001,10.1.0.1,10.1.0.7
0.14538000000000006,10.1.0.5,10.1.0.8
0.13536000000000015,10.1.0.4,10.1.0.10
0.10071999999999992,10.1.0.3,10.1.0.8
0.036439999999999806,10.1.0.4,10.1.0.6
0.06435999999999997,10.1.0.2,10.1.0.8
0.038880000000000026,10.1.0.1,10.1.0.9
0.03756999999999988,10.1.0.4,10.1.0.8
0.03642999999999996,10.1.0.5,10.1.0.6
0.03644999999999987,10.1.0.5,10.1.0.10
0.03644000000000025,10.1.0.4,10.1.0.8
0.048290000000000166,10.1.0.3,10.1.0.8
0.04760000000000009,10.1.0.3,10.1.0.9
0.07990999999999993,10.1.0.5,10.1.0.10
0.027670000000000083,10.1.0.4,10.1.0.8
0.13895000000000035,10.1.0.5,10.1.0.9
0.04842999999999975,10.1.0.2,10.1.0.7
0.16338000000000008,10.1.0.2,10.1.0.7
0.19051000000000018,10.1.0.2,10.1.0.8
0.14608,10.1.0.1,10.1.0.10
0.12086999999999959,10.1.0.1,10.1.0.9
0.08407000000000009,10.1.0.3,10.1.0.7
0.08022000000000018,10.1.0.2,10.1.0.10
0.03645999999999994,10.1.0.3,10.1.0.10
0.0482800000000001,10.1.0.3,10.1.0.8
0.06178000000000017,10.1.0.1,10.1.0.9
0.06966000000000028,10.1.0.4,10.1.0.10
0.03208999999999973,10.1.0.1,10.1.0.6
0.04443000000000019,10.1.0.2,10.1.0.6
0.03208999999999973,10.1.0.5,10.1.0.9
0.07209000000000021,10.1.0.5,10.1.0.7
0.14901000000000053,10.1.0.4,10.1.0.7
0.22511999999999954,10.1.0.4,10.1.0.9
0.05851000000000006,10.1.0.5,10.1.0.7
0.2511599999999996,10.1.0.4,10.1.0.6
0.7805,10.1.0.4,10.1.0.6
0.019010000000000637,10.1.0.2,10.1.0.8
0.04176000000000002,10.1.0.2,10.1.0.6
0.036439999999999806,10.1.0.3,10.1.0.7
0.03314000000000039,10.1.0.1,10.1.0.7
0.26553999999999967,10.1.0.4,10.1.0.6
0.12356999999999996,10.1.0.4,10.1.0.10
0.023320000000000007,10.1.0.4,10.1.0.8
0.023419999999999774,10.1.0.2,10.1.0.7
0.023320000000000007,10.1.0.4,10.1.0.6
0.023410000000000153,10.1.0.5,10.1.0.7
0.05740999999999996,10.1.0.3,10.1.0.10
0.07489999999999952,10.1.0.1,10.1.0.9
0.01627000000000045,10.1.0.2,10.1.0.8
0.027779999999999916,10.1.0.3,10.1.0.10
0.02768000000000015,10.1.0.4,10.1.0.6
0.01900999999999975,10.1.0.5,10.1.0.8
0.017860000000000653,10.1.0.2,10.1.0.6
0.023429999999999396,10.1.0.5,10.1.0.10
0.02336000000000027,10.1.0.3,10.1.0.8
0.023429999999999396,10.1.0.3,10.1.0.10
0.01790999999999876,10.1.0.2,10.1.0.10
0.023359999999998493,10.1.0.1,10.1.0.9
0.033170000000000144,10.1.0.5,10.1.0.6
0.016199999999999548,10.1.0.5,10.1.0.8
0.02336999999999989,10.1.0.3,10.1.0.9
0.04333000000000098,10.1.0.3,10.1.0.7
0.02336000000000027,10.1.0.1,10.1.0.9
0.08537539999999999,10.1.0.5,10.1.0.9
0.39852299999999996,10.1.0.1,10.1.0.8
0.98209,10.1.0.4,10.1.0.8
0.9814430000000001,10.1.0.4,10.1.0.9
0.25041800000000003,10.1.0.3,10.1.0.8
0.09579099999999999,10.1.0.5,10.1.0.9
0.62313,10.1.0.3,10.1.0.8
1.099423,10.1.0.4,10.1.0.10
0.22665199999999996,10.1.0.2,10.1.0.10
0.8838090000000001,10.1.0.3,10.1.0.7
0.357448,10.1.0.1,10.1.0.9
0.06110399999999999,10.1.0.5,10.1.0.8
0.795226,10.1.0.5,10.1.0.6
0.036453999999999986,10.1.0.2,10.1.0.10
0.519042,10.1.0.1,10.1.0.7
0.601784,10.1.0.2,10.1.0.8
0.642442,10.1.0.4,10.1.0.6
0.8951040000000001,10.1.0.5,10.1.0.8
0.42098,10.1.0.3,10.1.0.7
0.660358,10.1.0.3,10.1.0.8
1.2817859999999999,10.1.0.3,10.1.0.9
0.36031000000000013,10.1.0.4,10.1.0.6
0.27923999999999993,10.1.0.2,10.1.0.6
0.1528100000000001,10.1.0.4,10.1.0.8
0.32738,10.1.0.4,10.1.0.6
0.6925300000000001,10.1.0.2,10.1.0.8
1.57329,10.1.0.3,10.1.0.9
0.14619000000000004,10.1.0.1,10.1.0.9
0.5599099999999999,10.1.0.5,10.1.0.10
0.4427700000000001,10.1.0.4,10.1.0.8
0.03645999999999994,10.1.0.1,10.1.0.10
0.03644000000000003,10.1.0.1,10.1.0.8
0.9710399999999999,10.1.0.4,10.1.0.10
0.05679000000000012,10.1.0.1,10.1.0.9
1.31298,10.1.0.5,10.1.0.10
0.6051099999999998,10.1.0.2,10.1.0.8
1.6589099999999997,10.1.0.3,10.1.0.6
0.04980999999999991,10.1.0.1,10.1.0.7
0.036439999999999806,10.1.0.1,10.1.0.7
0.6520800000000002,10.1.0.2,10.1.0.10
0.33636,10.1.0.4,10.1.0.7
1.0409600000000006,10.1.0.3,10.1.0.9
2.10309,10.1.0.4,10.1.0.7
0.14976999999999974,10.1.0.2,10.1.0.8
0.22567000000000004,10.1.0.5,10.1.0.9
1.4709599999999998,10.1.0.2,10.1.0.6
0.08835999999999977,10.1.0.5,10.1.0.10
1.9138700000000002,10.1.0.5,10.1.0.6
0.03642999999999974,10.1.0.1,10.1.0.6
0.47276000000000007,10.1.0.3,10.1.0.7
0.9690699999999999,10.1.0.3,10.1.0.9
0.027770000000000294,10.1.0.1,10.1.0.7
0.9052999999999995,10.1.0.3,10.1.0.7
0.27816999999999936,10.1.0.2,10.1.0.8
0.02336999999999989,10.1.0.1,10.1.0.7
0.8050499999999996,10.1.0.3,10.1.0.10
0.05705999999999989,10.1.0.2,10.1.0.6
1.8785999999999996,10.1.0.2,10.1.0.6
1.0495799999999997,10.1.0.3,10.1.0.10
0.46957999999999966,10.1.0.4,10.1.0.8
0.16837000000000035,10.1.0.5,10.1.0.6
0.4422599999999992,10.1.0.5,10.1.0.7
0.5292599999999998,10.1.0.3,10.1.0.9
0.35896999999999935,10.1.0.4,10.1.0.6
0.18036999999999992,10.1.0.5,10.1.0.7
1.5024200000000008,10.1.0.4,10.1.0.10
0.6459399999999995,10.1.0.5,10.1.0.10
3.416730000000001,10.1.0.3,10.1.0.7
0.01900999999999975,10.1.0.1,10.1.0.8
0.6874500000000001,10.1.0.5,10.1.0.6
1.3780299999999999,10.1.0.2,10.1.0.9
0.032260000000000844,10.1.0.1,10.1.0.8
0.9404499999999993,10.1.0.5,10.1.0.6
0.7488799999999998,10.1.0.4,10.1.0.10
0.019000000000000128,10.1.0.1,10.1.0.8
0.01901999999999937,10.1.0.1,10.1.0.10
0.6325199999999995,10.1.0.2,10.1.0.9
1.0399200000000004,10.1.0.5,10.1.0.10
0.01900999999999975,10.1.0.1,10.1.0.8
0.03575999999999979,10.1.0.1,10.1.0.9
0.01900999999999975,10.1.0.1,10.1.0.7
0.020280000000001408,10.1.0.1,10.1.0.9
0.1837099999999996,10.1.0.5,10.1.0.9
