Tiempo de respuesta (s),Notificador (ip),Rescatista (ip)
1.4322300000000001,10.1.0.5,10.1.0.9
0.054389999999999716,10.1.0.3,10.1.0.10
0.1258300000000001,10.1.0.1,10.1.0.9
0.12232999999999983,10.1.0.4,10.1.0.10
0.25387000000000004,10.1.0.1,10.1.0.6
2.99081,10.1.0.4,10.1.0.7
0.4836499999999999,10.1.0.1,10.1.0.7
1.6026000000000002,10.1.0.1,10.1.0.6
0.03644000000000025,10.1.0.3,10.1.0.6
0.2618499999999999,10.1.0.5,10.1.0.8
0.13995999999999942,10.1.0.5,10.1.0.6
0.9467699999999999,10.1.0.5,10.1.0.7
1.3218300000000003,10.1.0.5,10.1.0.8
0.03204000000000029,10.1.0.3,10.1.0.7
1.0196399999999999,10.1.0.5,10.1.0.9
0.08300000000000018,10.1.0.1,10.1.0.6
1.7024600000000003,10.1.0.1,10.1.0.8
0.03644999999999943,10.1.0.3,10.1.0.10
1.3115800000000002,10.1.0.5,10.1.0.6
0.02766999999999964,10.1.0.3,10.1.0.7
0.04797000000000029,10.1.0.3,10.1.0.6
0.66662,10.1.0.4,10.1.0.10
0.031489999999999796,10.1.0.3,10.1.0.10
1.5552400000000004,10.1.0.5,10.1.0.6
1.5483900000000004,10.1.0.4,10.1.0.10
1.0289900000000003,10.1.0.1,10.1.0.10
0.01900999999999975,10.1.0.3,10.1.0.8
1.09706,10.1.0.1,10.1.0.6
0.019000000000000128,10.1.0.3,10.1.0.8
0.01900999999999975,10.1.0.3,10.1.0.9
0.019010000000001526,10.1.0.3,10.1.0.7
0.01900999999999975,10.1.0.3,10.1.0.9
0.118659,10.1.0.3,10.1.0.9
0.069074,10.1.0.2,10.1.0.7
0.06834499999999999,10.1.0.4,10.1.0.8
0.054813999999999974,10.1.0.2,10.1.0.6
0.044362999999999986,10.1.0.5,10.1.0.9
0.05062899999999998,10.1.0.1,10.1.0.6
0.05468300000000004,10.1.0.5,10.1.0.7
0.09939100000000001,10.1.0.1,10.1.0.8
0.115838,10.1.0.1,10.1.0.7
0.19536299999999995,10.1.0.1,10.1.0.8
0.25580800000000004,10.1.0.2,10.1.0.10
0.16066000000000003,10.1.0.3,10.1.0.8
0.205785,10.1.0.4,10.1.0.6
0.22790600000000005,10.1.0.4,10.1.0.10
0.20619900000000002,10.1.0.5,10.1.0.9
0.23271600000000003,10.1.0.4,10.1.0.7
0.10207099999999991,10.1.0.3,10.1.0.6
0.03644000000000003,10.1.0.2,10.1.0.7
0.03644000000000003,10.1.0.1,10.1.0.8
0.03829000000000016,10.1.0.3,10.1.0.7
0.03642999999999996,10.1.0.3,10.1.0.7
0.28213,10.1.0.4,10.1.0.6
0.04559000000000002,10.1.0.1,10.1.0.9
0.11477000000000004,10.1.0.3,10.1.0.10
0.06701000000000001,10.1.0.5,10.1.0.8
0.11012,10.1.0.1,10.1.0.8
0.20906000000000002,10.1.0.2,10.1.0.8
0.20475,10.1.0.2,10.1.0.9
0.1621999999999999,10.1.0.5,10.1.0.8
0.08156999999999992,10.1.0.3,10.1.0.6
0.07685999999999993,10.1.0.2,10.1.0.10
0.03644000000000003,10.1.0.2,10.1.0.8
0.11802000000000001,10.1.0.4,10.1.0.9
0.03656999999999999,10.1.0.5,10.1.0.8
0.11526999999999998,10.1.0.5,10.1.0.10
0.1271,10.1.0.5,10.1.0.8
0.036430000000000184,10.1.0.1,10.1.0.9
0.03642999999999974,10.1.0.4,10.1.0.7
0.05744000000000016,10.1.0.5,10.1.0.7
0.03207000000000004,10.1.0.1,10.1.0.8
0.03644999999999987,10.1.0.5,10.1.0.10
0.036439999999999806,10.1.0.3,10.1.0.9
0.05086000000000013,10.1.0.5,10.1.0.7
0.03644999999999987,10.1.0.4,10.1.0.10
0.0461999999999998,10.1.0.1,10.1.0.10
0.04947999999999997,10.1.0.1,10.1.0.8
0.05920000000000014,10.1.0.1,10.1.0.9
0.032099999999999795,10.1.0.5,10.1.0.10
0.032119999999999926,10.1.0.5,10.1.0.6
0.03644000000000025,10.1.0.3,10.1.0.6
0.036439999999999806,10.1.0.4,10.1.0.9
0.03207000000000004,10.1.0.2,10.1.0.7
0.03208000000000011,10.1.0.3,10.1.0.7
0.03644000000000025,10.1.0.4,10.1.0.6
0.027719999999999967,10.1.0.5,10.1.0.7
0.027670000000000083,10.1.0.4,10.1.0.9
0.027670000000000083,10.1.0.3,10.1.0.8
0.03302000000000005,10.1.0.1,10.1.0.6
0.02766999999999964,10.1.0.2,10.1.0.7
0.03237000000000023,10.1.0.2,10.1.0.7
0.03302000000000049,10.1.0.1,10.1.0.6
0.02766999999999964,10.1.0.4,10.1.0.6
0.045259999999999856,10.1.0.4,10.1.0.10
0.023320000000000007,10.1.0.2,10.1.0.8
0.04187999999999992,10.1.0.2,10.1.0.7
